,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
13,1975,Chainlink,LINK,chainlink,1846,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,14,,,,2024-09-20T07:59:00.000Z,11.707642314929446,278231023.83496964,0.5085,0.40501424,5.06591777,9.4792765,12.33221475,-18.14893623,-14.86107291,7119416945.780391,0.3214,11707642314.93,,2024-09-20T07:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-09-20 13:31:30.551436
14,1831,Bitcoin Cash,BCH,bitcoin-cash,923,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19763187.5,19763187.5,False,,15,,,,2024-09-20T07:59:00.000Z,343.10058485880575,254778747.7422857,-25.3093,-0.08449503,-0.68588887,4.2387878,1.19080856,-11.77751664,-11.1063296,6780761189.924239,0.3061,7205112282.03,,2024-09-20T07:59:00.000Z,,,,,,2024-09-20 13:31:30.551436
0,1,Bitcoin,BTC,bitcoin,11705,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19756484.0,19756484.0,False,,1,,,,2024-09-20T08:01:00.000Z,63532.56463092906,41770904479.155464,-11.2244,-0.37193641,2.33781565,9.29617382,6.18259168,-5.55751578,-1.44750372,1255180096609.9158,56.7344,1334183857249.51,,2024-09-20T08:01:00.000Z,,,,,,2024-09-20 13:32:31.612112
1,1027,Ethereum,ETH,ethereum,9317,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120345932.99257168,120345932.99257168,True,,2,,,,2024-09-20T08:00:00.000Z,2561.3031071537926,19754840726.440346,-6.0165,-0.09375821,5.05584589,9.03270059,-1.51970771,-26.41199383,-26.64954706,308242412107.196,13.9188,308242412107.2,,2024-09-20T08:00:00.000Z,,,,,,2024-09-20 13:32:31.612112
2,825,Tether USDt,USDT,tether,98038,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,119072842113.35646,121386817751.62444,True,,3,,,,2024-09-20T08:00:00.000Z,1.0001459131,68977993595.26396,-4.7653,0.01845962,-0.00381346,0.00289705,-0.00159811,-0.03182693,0.07348348,119090216400.87502,5.3755,121404529678.5,,2024-09-20T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-09-20 13:32:31.612112
3,1839,BNB,BNB,bnb,2237,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145933708.58039922,145933708.58039922,False,,4,,,,2024-09-20T08:00:00.000Z,573.6244391726277,1936935967.8342266,8.7908,-0.37028318,2.97499724,5.70904794,2.13854191,-3.50430159,-2.22046575,83711141740.81319,3.7786,83711141740.81,,2024-09-20T08:00:00.000Z,,,,,,2024-09-20 13:32:31.612112
4,5426,Solana,SOL,solana,737,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,468491732.2454785,584920172.8598255,True,,5,,,,2024-09-20T08:00:00.000Z,151.04788653704952,3225468125.759111,9.2231,-0.37963722,8.96675092,12.26176526,5.48669233,-15.45833312,12.14984643,70764686015.76082,3.1945,88350955903.36,,2024-09-20T08:00:00.000Z,,,,,,2024-09-20 13:32:31.612112
5,3408,USDC,USDC,usd-coin,22144,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,35556991081.38526,35556991081.38526,False,,6,,,,2024-09-20T08:00:00.000Z,0.9999727534124297,6928838003.504778,-13.5899,0.01114809,0.00115135,-0.00937286,-0.00365861,-0.02202681,-0.00550884,35556022274.71403,1.6051,35556022274.71,,2024-09-20T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-09-20 13:32:31.612112
6,52,XRP,XRP,xrp,1391,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56434507880.0,99987205428.0,False,,7,,,,2024-09-20T08:01:00.000Z,0.5910035757760288,1317281193.2155876,5.0473,0.30567208,1.01792117,4.86938206,-1.25607342,-1.25290894,21.49058751,33352995954.240475,1.5055,59100357577.6,,2024-09-20T08:01:00.000Z,,,,,,2024-09-20 13:32:31.612112
7,74,Dogecoin,DOGE,dogecoin,1067,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146031776383.7052,146031776383.7052,True,,8,,,,2024-09-20T08:01:00.000Z,0.10671130152881851,662778968.0329154,1.3382,-0.24497295,2.41639988,3.12264295,1.97892453,-22.14024055,-13.91880013,15583240922.470564,0.7034,15583240922.47,,2024-09-20T08:01:00.000Z,,,,,,2024-09-20 13:32:31.612112
